slug, date, minutes
sql-with-sailor-moon-thinking-about-joins-dot-dot-dot,2019-06-19T09:30:00.000Z,45
80-s-kids-number-2-help-alf-find-his-spaceship , 2019-06-20T09:30:00.000Z,45
filter-out-the-geese, 2019-06-21T09:30:00.000Z,60
sql-basics-monsters-using-case, 2019-06-25T09:30:00.000Z, 60
alphabet-war,2019-06-26T09:30:00.000Z, 60 
street-fighter-2-character-selection, 2019-06-27T09:30:00.000Z, 60 
deodorant-evaporator,2019-06-28T09:30:00.000Z, 60 
simple-fun-number-312-maximum-product, 2019-07-01T09:30:00.000Z, 70 
sql-basics-simple-join-and-rank, 2019-07-03T09:30:00.000Z, 60 
prize-draw,2019-07-05T09:30:00.000Z, 70 
sql-basics-simple-in,2019-07-08T09:30:00.000Z,70 
errors-histogram,2019-07-09T09:30:00.000Z,60 
schrodingers-boolean,2019-07-11T09:30:00.000Z,70 
mexican-wave,2019-07-12T09:30:00.000Z,60
sql-basics-group-by-day,2019-07-15T09:30:00.000Z,70
command-line-parameters,2019-07-16T09:30:00.000Z,60
fibonacci-tribonacci-and-friends,2019-07-17T09:30:00.000Z,30
relational-division-find-all-movies-two-actors-cast-in-together,2019-07-18T09:30:00.000Z,30
