slug,date,minutes
if-you-cant-sleep-just-count-sheep,2019-10-22T07:30:00.000Z,50
sum-mixed-array,2019-10-23T07:30:00.000Z,50
keep-hydrated-1,2019-10-23T07:30:00.000Z,50
tests-results,2019-10-24T07:10:00.000Z,65
counting-in-the-amazon,2019-10-25T07:30:00.000Z,50
deodorant-evaporator,2019-10-28T08:30:00.000Z,50
user-class-for-banking-system,2019-10-29T08:30:00.000Z,55
sql-with-sailor-moon-thinking-about-joins-dot-dot-dot,2019-10-30T08:30:00.000Z,50
sql-basics-monsters-using-case,2019-10-31T08:30:00.000Z,45
count-the-smiley-faces,2019-11-01T08:30:00.000Z,45
decode-the-morse-code,2019-11-05T09:30:00.000Z,50
see-you-next-happy-year,2019-11-06T09:30:00.000Z,45
80-s-kids-number-2-help-alf-find-his-spaceship,2019-11-07T09:30:00.000Z,45
numericals-of-a-string,2019-11-08T09:30:00.000Z,45
the-deaf-rats-of-hamelin,2019-11-11T09:30:00.000Z,45
alphabet-war,2019-11-12T09:30:00.000Z,50
scraping-get-the-year-a-codewarrior-joined,2019-11-13T09:30:00.000Z,50
sorting-by-bits,2019-11-14T08:30:00.000Z,50
vector-class,2019-11-15T08:30:00.000Z,65
street-fighter-2-character-selection,2019-11-18T08:30:00.000Z,50
pete-the-baker,2019-11-19T08:30:00.000Z,50
ackermann-function,2019-11-20T08:30:00.000Z,50
piano-kata-part-1,2019-11-21T08:30:00.000Z,50
complete-the-table-pattern,2019-11-22T08:30:00.000Z,55
the-supermarket-queue,2019-11-25T08:30:00.000Z,55
fixme-hello,2019-11-26T08:30:00.000Z,55
computer-problem-series-number-2-torrent-download,2019-11-27T08:30:00.000Z,60
sql-basics-top-10-customers-by-total-payments-amount,2019-11-28T08:30:00.000Z,60
directions-reduction,2019-11-29T08:30:00.000Z,60
schrodingers-boolean,2019-12-02T08:30:00.000Z,60
unknown-amount-of-duplicates-one-missing-number,2019-12-03T08:30:00.000Z,55
perimeter-of-squares-in-a-rectangle,2019-12-04T08:30:00.000Z,55
valid-phone-number,2019-12-05T08:30:00.000Z,45
give-me-a-diamond,2019-12-06T08:30:00.000Z,45
computer-problem-series-number-3-hacha-software-split,2019-12-09T08:30:00.000Z,53
